City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Hermanus,ZA,2022-01-29 21:09:31,-34.4187,19.2345,64.8,76,3,13.76,clear sky
1,Acapulco,MX,2022-01-29 21:09:32,16.8634,-99.8901,84.02,65,20,9.22,few clouds
2,Tasiilaq,GL,2022-01-29 21:09:32,65.6145,-37.6368,15.96,76,94,6.64,overcast clouds
3,Cape Town,ZA,2022-01-29 21:08:15,-33.9258,18.4232,68.11,72,0,4.0,clear sky
4,Codrington,AU,2022-01-29 21:09:32,-38.2667,141.9667,63.81,82,80,6.33,broken clouds
5,Arraial Do Cabo,BR,2022-01-29 21:09:33,-22.9661,-42.0278,75.06,83,75,9.22,light rain
6,Gobabis,NA,2022-01-29 21:09:33,-22.45,18.9667,71.62,67,100,13.89,overcast clouds
7,Mareeba,AU,2022-01-29 21:09:33,-17.0,145.4333,70.52,94,98,1.63,overcast clouds
8,Rikitea,PF,2022-01-29 21:09:33,-23.1203,-134.9692,77.32,73,100,10.71,overcast clouds
9,Veraval,IN,2022-01-29 21:09:34,20.9,70.3667,67.03,43,3,7.96,clear sky
10,Ondjiva,AO,2022-01-29 21:09:34,-17.0667,15.7333,72.59,71,96,8.08,moderate rain
11,Pitimbu,BR,2022-01-29 21:09:34,-7.4706,-34.8086,79.39,78,66,7.81,broken clouds
12,San Pedro,PH,2022-01-29 21:09:35,14.35,121.0167,79.36,90,3,3.04,clear sky
13,Alibag,IN,2022-01-29 21:09:35,18.6411,72.8792,71.67,62,2,4.56,clear sky
14,Severo-Kurilsk,RU,2022-01-29 21:09:35,50.6789,156.125,23.59,77,90,18.97,overcast clouds
15,Qaanaaq,GL,2022-01-29 21:09:36,77.484,-69.3632,0.36,64,100,11.1,overcast clouds
16,Villa Carlos Paz,AR,2022-01-29 21:09:36,-31.4241,-64.4978,81.25,10,0,5.99,clear sky
17,Hobart,AU,2022-01-29 21:09:36,-42.8794,147.3294,62.02,69,100,1.01,overcast clouds
18,Margate,GB,2022-01-29 21:09:37,51.3813,1.3862,48.31,67,45,8.99,scattered clouds
